constituency_id,state,constituency,winning_party,alliance_2024,winner_vote_share,top2_margin_pct,effective_num_parties,margin_votes,party_type,ideology
ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,Andaman & Nicobar Islands,BJP,NDA,50.58218197260437,12.046574557808356,2.4560798141102276,24396.0,national,centre-right
ANDHRA_PRADESH__AMALAPURAM,Andhra Pradesh,Amalapuram,TDP,NDA,61.25411765067565,26.300393665081863,2.009394539253939,342196.0,regional,regional_centre
ANDHRA_PRADESH__ANAKAPALLE,Andhra Pradesh,Anakapalle,BJP,NDA,57.50023390365584,22.374016472853597,2.1976499529296203,296530.0,national,centre-right
ANDHRA_PRADESH__ANANTHAPUR,Andhra Pradesh,Ananthapur,TDP,NDA,53.334495025089765,13.09020652195042,2.23494275664396,188555.0,regional,regional_centre
ANDHRA_PRADESH__ARAKU,Andhra Pradesh,Araku,YSRCP,OTHER,40.96415030336341,4.343700217700288,3.1666263519818014,50580.0,regional,regional_centre
ANDHRA_PRADESH__BAPATLA,Andhra Pradesh,Bapatla,TDP,NDA,55.16015821702178,15.993219270494984,2.179014675856089,208031.0,regional,regional_centre
ANDHRA_PRADESH__CHITTOOR,Andhra Pradesh,Chittoor,TDP,NDA,54.83787302032551,15.539198101006647,2.193861604840782,220479.0,regional,regional_centre
ANDHRA_PRADESH__ELURU,Andhra Pradesh,Eluru,TDP,NDA,54.00322275114703,13.158505957458814,2.1783434088403015,181857.0,regional,regional_centre
ANDHRA_PRADESH__GUNTUR,Andhra Pradesh,Guntur,TDP,NDA,60.682306571411935,24.182826786850583,1.9938175718908335,344695.0,regional,regional_centre
ANDHRA_PRADESH__HINDUPUR,Andhra Pradesh,Hindupur,TDP,NDA,51.22601298135545,9.349950823919984,2.2753187629695297,132427.0,regional,regional_centre
ANDHRA_PRADESH__KADAPA,Andhra Pradesh,Kadapa,YSRCP,OTHER,45.77567654456401,4.742525388150305,2.5675140943282067,62695.0,regional,regional_centre
ANDHRA_PRADESH__KAKINADA,Andhra Pradesh,Kakinada,JnP,NDA,54.8727142291001,17.25751859485954,2.255625438612973,229491.0,regional,regional_centre
ANDHRA_PRADESH__KURNOOLU,Andhra Pradesh,Kurnoolu,TDP,NDA,49.51336809991133,8.363365845594316,2.3954748955669185,111298.0,regional,regional_centre
ANDHRA_PRADESH__MACHILIPATNAM,Andhra Pradesh,Machilipatnam,JnP,NDA,55.216218852991304,17.0105426507846,2.2138773715706472,223179.0,regional,regional_centre
ANDHRA_PRADESH__NANDYAL,Andhra Pradesh,Nandyal,TDP,NDA,49.92324222560519,7.973053606547332,2.3419849624805176,111975.0,regional,regional_centre
ANDHRA_PRADESH__NARSAPURAM,Andhra Pradesh,Narsapuram,BJP,NDA,57.46071555037213,22.48594141362294,2.2051072520781503,276864.0,national,centre-right
ANDHRA_PRADESH__NARSARAOPET,Andhra Pradesh,Narsaraopet,TDP,NDA,53.88188206077879,10.65166057713916,2.0945529771847218,159729.0,regional,regional_centre
ANDHRA_PRADESH__NELLORE,Andhra Pradesh,Nellore,TDP,NDA,55.69749260167383,17.87534465550442,2.1977082899410227,245902.0,regional,regional_centre
ANDHRA_PRADESH__ONGOLE,Andhra Pradesh,Ongole,TDP,NDA,49.352207192447835,3.5296375932173376,2.2025808595469316,50199.0,regional,regional_centre
ANDHRA_PRADESH__RAJAHMUNDRY,Andhra Pradesh,Rajahmundry,BJP,NDA,54.81903301675021,18.04418179472225,2.287699219590277,239139.0,national,centre-right
ANDHRA_PRADESH__RAJAMPET,Andhra Pradesh,Rajampet,YSRCP,OTHER,48.377607677470614,5.707012849050109,2.3924617542843527,76071.0,regional,regional_centre
ANDHRA_PRADESH__SRIKAKULAM,Andhra Pradesh,Srikakulam,TDP,NDA,61.04528173014827,26.535948452924124,2.0315799943134,327901.0,regional,regional_centre
ANDHRA_PRADESH__THIRUPATHI,Andhra Pradesh,Thirupathi,YSRCP,OTHER,45.72846221167825,1.0537621964891457,2.4318734425960775,14569.0,regional,regional_centre
ANDHRA_PRADESH__VIJAYAWADA,Andhra Pradesh,Vijayawada,TDP,NDA,58.2051516961606,20.674579761874227,2.0830598003224323,282085.0,regional,regional_centre
ANDHRA_PRADESH__VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam,TDP,NDA,65.42070829954042,36.35195097774174,1.9491147023703617,504247.0,regional,regional_centre
ANDHRA_PRADESH__VIZIANAGARAM,Andhra Pradesh,Vizianagaram,TDP,NDA,57.19588806396345,19.192036587487166,2.11854447379837,249351.0,regional,regional_centre
ARUNACHAL_PRADESH__ARUNACHAL_EAST,Arunachal Pradesh,Arunachal East,BJP,NDA,45.00978534084831,9.40536663337899,2.9406844748435814,30421.0,national,centre-right
ARUNACHAL_PRADESH__ARUNACHAL_WEST,Arunachal Pradesh,Arunachal West,BJP,NDA,51.37942591870016,25.19684645476283,2.8850572645439607,100738.0,national,centre-right
ASSAM__BARPETA,Assam,Barpeta,AGP,NDA,51.01673069611488,13.188524167187149,2.4571963743665592,222351.0,regional,regional_centre
ASSAM__DARRANG-UDALGURI,Assam,Darrang-Udalguri,BJP,NDA,47.9453953180212,18.165415194346288,2.870693454609202,329012.0,national,centre-right
ASSAM__DHUBRI,Assam,Dhubri,INC,INDIA,59.98859638540467,41.264782312415015,2.341907828468388,1012476.0,national,centre-left
ASSAM__DIBRUGARH,Assam,Dibrugarh,BJP,NDA,54.27130253566786,21.85059789317559,2.427682864232478,279321.0,national,centre-right
ASSAM__DIPHU,Assam,Diphu,BJP,NDA,49.00509206577947,21.616456291271437,2.8637669894011455,147603.0,national,centre-right
ASSAM__GUWAHATI,Assam,Guwahati,BJP,NDA,55.95180409518885,15.699120101488752,2.103670826534538,251090.0,national,centre-right
ASSAM__JORHAT,Assam,Jorhat,INC,INDIA,54.039147186520594,10.379323729836962,2.071125424797762,144393.0,national,centre-left
ASSAM__KARIMGANJ,Assam,Karimganj,BJP,NDA,47.52825486841715,1.6008621636750675,2.285208812876554,18360.0,national,centre-right
ASSAM__KAZIRANGA,Assam,Kaziranga,BJP,NDA,55.0354400200744,15.273412407964235,2.16731251427466,248947.0,national,centre-right
ASSAM__KOKRAJHAR,Assam,Kokrajhar,UPPL,NDA,39.387561458111826,4.15490666099609,3.392170848290887,51583.0,regional,tribal_regional
ASSAM__LAKHIMPUR,Assam,Lakhimpur,BJP,NDA,54.74854154592005,16.616138849121633,2.242527025631334,201257.0,national,centre-right
ASSAM__NAGAON,Assam,Nagaon,INC,INDIA,50.893614056276206,13.692340248180969,2.466807838573561,212231.0,national,centre-left
ASSAM__SILCHAR,Assam,Silchar,BJP,NDA,59.885205603684874,24.261491831478224,2.0573297456235355,264311.0,national,centre-right
ASSAM__SONITPUR,Assam,Sonitpur,BJP,NDA,60.2101099910902,28.04943545357743,2.140518035862787,361408.0,national,centre-right
BIHAR__ARARIA,Bihar,Araria,BJP,NDA,47.91355304336719,1.6042345276872965,2.249568261338357,20094.0,national,centre-right
