state,constituency,state_key,constituency_key,demographic_source_type,has_generated_data,has_manual_data,manual_fields_entered,core_fields_completed,missing_core_fields,confidence_summary,source_count,needs_review
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,ANDAMAN NICOBAR ISLANDS,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Amalapuram,ANDHRA PRADESH,AMALAPURAM,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Anakapalle,ANDHRA PRADESH,ANAKAPALLE,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Ananthapur,ANDHRA PRADESH,ANANTHAPUR,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Araku,ANDHRA PRADESH,ARAKU,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Bapatla,ANDHRA PRADESH,BAPATLA,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Chittoor,ANDHRA PRADESH,CHITTOOR,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Eluru,ANDHRA PRADESH,ELURU,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Guntur,ANDHRA PRADESH,GUNTUR,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Hindupur,ANDHRA PRADESH,HINDUPUR,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Kadapa,ANDHRA PRADESH,KADAPA,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Kakinada,ANDHRA PRADESH,KAKINADA,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Kurnoolu,ANDHRA PRADESH,KURNOOLU,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Machilipatnam,ANDHRA PRADESH,MACHILIPATNAM,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Nandyal,ANDHRA PRADESH,NANDYAL,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Narsapuram,ANDHRA PRADESH,NARSAPURAM,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Narsaraopet,ANDHRA PRADESH,NARSARAOPET,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Nellore,ANDHRA PRADESH,NELLORE,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Ongole,ANDHRA PRADESH,ONGOLE,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Rajahmundry,ANDHRA PRADESH,RAJAHMUNDRY,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Rajampet,ANDHRA PRADESH,RAJAMPET,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Thirupathi,ANDHRA PRADESH,THIRUPATHI,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Andhra Pradesh,Vijayawada,ANDHRA PRADESH,VIJAYAWADA,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Andhra Pradesh,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Arunachal Pradesh,Arunachal East,ARUNACHAL PRADESH,ARUNACHAL EAST,election_only,False,False,0,0,urban_pct;literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,True
Arunachal Pradesh,Arunachal West,ARUNACHAL PRADESH,ARUNACHAL WEST,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
Assam,Barpeta,ASSAM,BARPETA,generated,True,False,0,1,literacy_rate;sc_pct;st_pct;religion_hindu_pct;religion_muslim_pct;population_density;sex_ratio,,0,False
