col_0,col_1,N,(%)
,58: Caste identity/protection of my caste,12,.1
,59: Regional/state/linguistic identity,35,.3
,60: Hindutva,4,.0
,61: Cow protection/cow slaughter issue,9,.1
,63: Casteism,17,.2
,"64: Communalism, secularism",27,.3
,65: Appeasement of Muslims,0,.0
,66: Neglect of Muslims,10,.1
,67: Ayodhya issue/Ram Mandir-Babri masjid,11,.1
,68: SC-ST Act issue,3,.0
,69: Pakistan related/surgical strike,59,.6
,70: Terrorism,142,1.4
,71: Naxalism/Maoism,8,.1
,72: Nationalism/patriotism,14,.1
,73: Reservation/demand for reservation,36,.4
,74: 10% quota for EWS announced by the government,2,.0
,76: Article 370/Kashmir issue,10,.1
,78: Population Control,5,.0
,79: Environmental degradation,5,.0
,81: Pollution/Air Quality,1,.0
,82: Wildlife protection,2,.0
,83: Women’s safety/rape/sexual harassment,114,1.1
,84: Discrimination against women,10,.1
