col_0,col_1,N,(%)
,266: Chaudhary,2,.0
,268: Nadars,30,.3
,269: Ahom,1,.0
,270 : Koch,18,.2
,271: Mali,11,.1
,272: Dhangar,14,.1
,273: Vanjari,2,.0
,274: Leva-Patil,5,.0
,275: Gowari,6,.1
,276: Agri,4,.0
,278: Teli,13,.1
,284: Kashyap,6,.1
,286: Kamboj,31,.3
,288: Mali,18,.2
,299: Other Peasant OBCs,188,1.9
,300: Bunkar (Weavers),24,.2
,310: Darzee (Tailors),15,.2
,320: Thatihar (Make Vessel),24,.2
,330: Lakhera (Make Lac Bangles),26,.3
,335: Badhai (Carpenters),38,.4
,345: Kumhar(Potters),125,1.3
,355: Lohar (Black Smith),76,.8
,365: Sunar (Gold Smith),15,.2
