col_0,col_1,N,(%)
,625: Bhutia Sherpa,1,.0
,"626: Kani, Kora, Mahli, Paite",0,.0
,"630: Baiga, Mala Araya",7,.1
,"631: Bhilala, Mala Pandaram, Zou",1,.0
,"632: Kol, Mahadev-Koli, Ulladam",24,.2
,"633: Kadar, Khasi, Korku",12,.1
,"634: Barela, Garo",1,.0
,"638: Hmar, Koravar, Kuruba",3,.0
,669: Mogh,1,.0
,699: Other STs,147,1.5
,700: Ashrafs (Sayyad Shaikh),305,3.0
,710: Mughal (Khan),132,1.3
,720: Rajput (Peasant Proprietors),21,.2
,730: Other Upper Caste Muslim,38,.4
,732: Muslim Middle for Kashmir,33,.3
,740: Peasants/Traders,31,.3
,750: Craftsmen/Weavers,182,1.8
,760: Service,36,.4
,770: Ex-Untouchables/Muslim Dalits,30,.3
,780: Other Muslim OBC,88,.9
,790: Manipuri Muslim,19,.2
,791: Qurashi,19,.2
,792: Muslim OBC and Lower caste (for Kashmir),45,.4
