col_0,col_1,N,(%),Valid (%)
,16: Folk and commercial artists,5,.0,.1
,18: Priests,26,.3,.5
,19: Other lower professionals,36,.4,.6
,21: Elected Officials: District level elected officials,3,.0,.1
,22: Managers,32,.3,.6
,23: Officials Class I,11,.1,.2
,24: Officials Class II,25,.2,.4
,25: Class III Employee (Clerical),66,.7,1.2
,26: Superintendents,16,.2,.3
,27: Traditional clerks,5,.1,.1
,28: Class IV Employee,70,.7,1.2
,"29: Other administrative, managerial and clerical workers",41,.4,.7
,30: Big businessmen,47,.5,.8
,31: Medium businessmen,195,1.9,3.4
,32: Small businessmen,452,4.5,7.9
,33: Petty shopkeeper,162,1.6,2.8
,"34: Hawkers, Vendors",32,.3,.6
,35: Sales executives,41,.4,.7
,36: Salespersons,41,.4,.7
,37: Shop Assistants,56,.6,1.0
,38: Rentier,25,.2,.4
,39: Other businessmen,51,.5,.9
,40: Waiters,30,.3,.5
