col_0,col_1,N,(%)
,"375: Mahendra, Medara",7,.1
,378: Kosti-Sali-Padmashali,14,.1
,379: Daoli,2,.0
,391: Other Craftsmen,2,.0
,399: Other Artisan OBCs,42,.4
,400: Kewat (Fishermen & Boatmen),82,.8
,401: Baraba,1,.0
,402: Sembadar,1,.0
,410: Dhobi (Washermen),47,.5
,420: Nai (Barber),73,.7
,430: Teli (Oil Pressers),183,1.8
,435: Jogi (Mendicants & seek Alms),40,.4
,445: Trader OBCs,27,.3
,455: Ezhavas Toddy Tappers,56,.6
,460: Landless lobourers caste,32,.3
,470: Entertaining Castes,1,.0
,"478: Barman, Chaudhary",7,.1
,"479: Dugla, Dholi, Mushi, Vaishya",12,.1
,480: Bania Jain,3,.0
,481: Tea Garden Caste/tribes,31,.3
,489: Mochi Non-Dalit,1,.0
,490: Vagharis/Devipujaks,3,.0
,492: Jhimar,17,.2
