col_0,col_1,N,(%)
,77: Plantation workers,32,.3
,78: Agricultural labourers rearers,807,8.1
,79: Other agriculture workers,88,.9
,80: Live-stock farming,37,.4
,81: Dairy farming,20,.2
,82: Poultry farming,7,.1
,83: Shepherds,1,.0
,84: Forest produce gatherer,1,.0
,85: Hunters and trappers,2,.0
,86: Fishermen,15,.2
,89: Other breeders and cattle,8,.1
,90: House-wife/husband,3296,32.9
,91: Students not seeking employment,610,6.1
,92: Employment seekers,60,.6
,"93: Unemployed workers, non-workers",151,1.5
,95: Any other occupation,44,.4
,"96: Political activists, missionaries",12,.1
,98: Unidentifiable or unclassifiable,384,3.8
,99: Not ascertained,102,1.0
,Total,10010,100.0
