col_0,col_1,N,(%)
,202: Agaria,4,.0
,210: Yadav,526,5.3
,220: Kurmi,220,2.2
,221: Mudaliars,12,.1
,"222: Balija, Ediga",71,.7
,223: Sadaru Lingayat,46,.5
,230: Lodh,167,1.7
,231: Vanniyars,139,1.4
,235: Koeri,76,.8
,236: Mutharayars,5,.1
,237: Mudiraj,20,.2
,240: Vokkaliga,76,.8
,241: Kalinga,1,.0
,245: Lingayat,68,.7
,246: Thurpu Kapu,33,.3
,250: Gaderia,42,.4
,251: Koppulu Velama,1,.0
,255: Kunbi,30,.3
,256: Maratha-Kunbi,126,1.3
,260: Koli,25,.2
,263: Rabari,2,.0
,264: Bharwad,20,.2
,265: Kshatriya,47,.5
