col_0,col_1,N,(%)
,559: Khatik,2,.0
,560: Kori,18,.2
,561: Thiruvalluvar,2,.0
,562: Adi Karnataka,39,.4
,563: Adi Dravida,21,.2
,564: Banjara,9,.1
,566: Bhovi,17,.2
,567: Chalavadi,3,.0
,568: Holaya Holeya,8,.1
,569: Korama,1,.0
,571: Pulaya,8,.1
,573: Kuruva,2,.0
,575: Velan,5,.1
,"577 : Das, Hazarika, Koibarta",6,.1
,"578: Das, Malakar",2,.0
,"579: Hadi: Dalai, Mahal",5,.1
,"581: Bhuian, Kami /Lohar",19,.2
,"583: Matang, Sarki",8,.1
,590: Bagdi Duley,3,.0
,591: Bauri,15,.2
,592: Jalia Kaibartta,2,.0
,594: Kaora,13,.1
,595: Lohar,2,.0
