col_0,col_1,N,(%),Valid (%)
,41: Dhobi,2,.0,.0
,"42: Barbers, beauticians",31,.3,.5
,"43: Ayahs, maids, domestic servants",4,.0,.1
,"44: Chowkidars, caretakers",31,.3,.5
,"45: Sweepers, scavengers",18,.2,.3
,49: Other service workers,72,.7,1.3
,"50: Mechanics, machine tool operators, drivers",142,1.4,2.5
,"51: Electricians, Plumbers",49,.5,.9
,52: Jewellers,11,.1,.2
,53: Tailors,75,.7,1.3
,54: Weavers,20,.2,.3
,55: Shoemakers,5,.1,.1
,56: Blacksmiths,11,.1,.2
,57: Carpenters,22,.2,.4
,59: Other skilled workers,129,1.3,2.3
,60: Miners,11,.1,.2
,"61: Masons, bricklayers",65,.7,1.1
,62: Potters,7,.1,.1
,63: Stone-cutter and carvers,5,.0,.1
,"64: Furniture, basket, mat makers",12,.1,.2
,65: Rickshaw-pullers,75,.8,1.3
,66: Unskilled labourers,358,3.6,6.3
,69: Other semi-skilled and unskilled workers,143,1.4,2.5
