col_0,col_1,N,(%)
,"51: Electricians, Plumbers",69,.7
,52: Jewellers,11,.1
,53: Tailors,97,1.0
,54: Weavers,23,.2
,55: Shoemakers,13,.1
,56: Blacksmiths,11,.1
,57: Carpenters,28,.3
,59: Other skilled workers,78,.8
,60: Miners,14,.1
,"61: Masons, bricklayers",68,.7
,62: Potters,6,.1
,63: Stone-cutter and carvers,9,.1
,"64: Furniture, basket, mat makers",12,.1
,65: Rickshaw-pullers,72,.7
,66: Unskilled labourers,374,3.7
,69: Other semi-skilled and unskilled workers,182,1.8
,70: Owner-cultivators 20 + Acres,16,.2
,71: Owner-cultivators 10-20 Acres,32,.3
,72: Owner-cultivators 5-10 Acres,104,1.0
,73: Owner-cultivators 1-5 Acres,480,4.8
,74: Owner-cultivators 0-1 Acre,199,2.0
,75: Tenant-cultivators 5+ Acres,122,1.2
,76: Tenant-cultivators 0-5 Acres,163,1.6
