col_0,col_1,N,(%)
,33: Vote against a coalition government,1,.0
,34: Vote for a coalition government,7,.1
,35: Vote for a candidate/any particular candidate,17,.2
,36: Corruption (generally),336,3.4
,37: Corrupt politicians,28,.3
,38: Corruption of government officers,21,.2
,39: Scams (generally),15,.2
,40: Rafale aircraft scam,24,.2
,41: PNB/Nirav Modi Scam,3,.0
,43: Agusta Westland issue,1,.0
,44: Farmer or farming problems (generally),135,1.3
,"45: Low price for crops, produce/MSP",18,.2
,46: Lack of irrigation facilities,26,.3
,47: Rural distress/agricultural crisis,5,.0
,48: Debt due to agriculture/loan waiver,16,.2
,49: Stray cattle issue/cows eating the crop,5,.0
,50: Other agricultural problems,13,.1
,51: Any welfare scheme of the Central government,20,.2
,52: Any welfare scheme of the State government,24,.2
,53: MNREGA,2,.0
,54: Government subsidies,10,.1
,56: Housing/shelter,30,.3
,57: Religious identity/protection of my religion,11,.1
