col_0,col_1,N,(%)
,04: Sonia Gandhi,100,1.0
,05: Priyanka Gandhi,70,.7
,06: Amit Shah,24,.2
,07: Mayawati,183,1.8
,08: P. Chidambaram,7,.1
,09: Ghulam Nabi Azad,6,.1
,10: A K Antony,3,.0
,11: Pranab Mukherjee,1,.0
,12: Siddaramaiah,21,.2
,13: Sachin Pilot,13,.1
,14: Jyotiraditya Scindia,4,.0
,15: Any other Congress leader,25,.3
,16: Arun Jaitley,1,.0
,17: Rajnath Singh,23,.2
,19: L K Advani,1,.0
,20: Shivraj Singh Chouhan,1,.0
,21: Raman Singh,1,.0
,22: Vasundhara Raje,1,.0
,23: Nitin Gadkari,8,.1
,24: Any other BJP leader,14,.1
,25: Mulayam Singh Yadav,55,.5
,26: Akhilesh Yadav,136,1.4
,27: Lalu Prasad Yadav,28,.3
