col_0,col_1,N,(%)
,597: Pod Poundra,33,.3
,598: Sunri,4,.0
,599: Other SC,50,.5
,600: Tripuris,91,.9
,601: Bhil,93,.9
,602: Gond/Rajgond,130,1.3
,603: Oraon,77,.8
,604 : Kamar,11,.1
,605 : Muria,24,.2
,606 : Munda,33,.3
,608: Andh,2,.0
,"609: Baiga, Bodo (Plains and Hills)",47,.5
,"610: Bharia, Bhum, Deoris, Hojais (Plain Tribes)",16,.2
,"611: Bhattra, Sonowal, Mikhir, Kachari (PlainTribes)",21,.2
,614: Dimasas (Hill Tribes),4,.0
,"615: Hajongs, Jenu KurubaKarku",1,.0
,"616: Chakmas, Garos",6,.1
,"619 : Gangte, Paroja , Sawar",11,.1
,"620: Hmar, Ho, Saora, Marati",9,.1
,"621: Kabui, Kharia Kabui",2,.0
,622: Bhumij Kacha Naga,1,.0
,"623: Bedia, Bediya",1,.0
,"624: Bhumij, Kharwar",1,.0
