col_0,col_1,N,(%)
,25: Class III Employee (Clerical),51,.5
,26: Superintendents,7,.1
,27: Traditional clerks,4,.0
,28: Class IV Employee,38,.4
,"29: Other administrative, managerial and clerical workers",34,.3
,30: Big businessmen,39,.4
,31: Medium businessmen,125,1.2
,32: Small businessmen,346,3.5
,33: Petty shopkeeper,167,1.7
,"34: Hawkers, Vendors",42,.4
,35: Sales executives,38,.4
,36: Salespersons,48,.5
,37: Shop Assistants,58,.6
,38: Rentier,31,.3
,39: Other businessmen,41,.4
,40: Waiters,23,.2
,41: Dhobi,14,.1
,"42: Barbers, beauticians",31,.3
,"43: Ayahs, maids, domestic servants",10,.1
,"44: Chowkidars, caretakers",45,.4
,"45: Sweepers, scavengers",27,.3
,49: Other service workers,100,1.0
,"50: Mechanics, machine tool operators, drivers",154,1.5
