col_0,col_1,N,(%)
,793: Kerala Muslim,9,.1
,799: Muslim No Caste/Other Muslims,115,1.1
,800: Jat Sikh,111,1.1
,810: Khatri/Arora Sikh,15,.1
,820 : OBC Sikh,33,.3
,825: Mazhabi Sikh,89,.9
,830: Sikh No Caste/Other Sikhs,2,.0
,840: Upper Caste Christians,16,.2
,850: OBC Christians,75,.7
,860: Dalit Christians,15,.1
,880: Other Minorities,1,.0
,890: Buddhists,4,.0
,900: Dalit Buddhists,7,.1
,"995: Meetei, Meitei, Hindu no caste",26,.3
,998: No religion no caste,259,2.6
,999: Not ascertained/ failed to ask/ Answer refused,62,.6
,Total,10010,100.0
