col_0,col_1,N,(%)
,499: Other Service OBCs,125,1.2
,500: Chamar,596,6.0
,501: Satnami,38,.4
,502: Loi,1,.0
,505: Bonia,1,.0
,"507: Kandara, Gokha",22,.2
,509: Lambani,2,.0
,510: Balmiki,60,.6
,511: Arundhatiyars,7,.1
,520: Pasi,138,1.4
,521: Pano,4,.0
,523: Devendrakula Vellars,12,.1
,524: Dusadh,26,.3
,526: Mala,38,.4
,530: Namashudras,60,.6
,"531: Mahar, Mehar, Mehra",69,.7
,532: Boyar,4,.0
,"535: Dhobi, Julaha, Kewat (Non-OBC)",35,.3
,540: Dom,4,.0
,545: Nomadic/Service SC,2,.0
,550: Lowest SC,4,.0
,556: Vankar,6,.1
,557: Dhanuk,6,.1
