col_0,col_1,N,(%)
,103: Mahishya,22,.2
,104: Anjana,2,.0
,105: Khandayat,73,.7
,"110: Reddy, Vellala",82,.8
,"115: Chowdary , Kamma, Naidu",37,.4
,"120: Kurup, Menon,Nambiar, Nair",44,.4
,121: Marathas,183,1.8
,"125: Patel, Kanbi Patel",38,.4
,126: Karwa Patel/Patidar,27,.3
,127: Leuva Patel/Patidar,12,.1
,128: Patidar,10,.1
,130: Raju: Varma,1,.0
,135: Velama,8,.1
,"136: Balija, Kapu",36,.4
,138: Naidu,14,.1
,139: Bhuyan,4,.0
,141: Rai Bahadur,1,.0
,143: Lingayats,19,.2
,"145: Shetty , Bishnoi",20,.2
,146 : Nekara,1,.0
,199: Other Peasant Proprietors,42,.4
,200: Gujjar,52,.5
,201: Thevar,62,.6
