col_0,col_1,N,(%)
,28: Sharad Pawar,43,.4
,30: H D Deve Gowda,20,.2
,31: Uddhav Thackeray,11,.1
,32: Sitaram Yechury,2,.0
,33: Asaduddin Owaisi,1,.0
,34: Parkash Singh Badal,17,.2
,36: Tejaswi Yadav,16,.2
,40: N. Chandrababu Naidu,8,.1
,43: Nitish Kumar,5,.1
,45: Arvind Kejriwal,36,.4
,51: HD Kumaraswamy,1,.0
,52: Pinarayi Vijayan,2,.0
,59: Naveen Patnaik,48,.5
,61: Amarinder Singh,7,.1
,65: K. Chandrashekar Rao,30,.3
,67: Yogi Adityanath,3,.0
,69: Mamata Banerjee,158,1.6
,80: Any other leader that has not been mentioned above,42,.4
,90: Anyone can be PM,113,1.1
,98: No response,1936,19.3
,Total,10010,100.0
