col_0,col_1,N,(%)
,10: GST,62,.6
,11: Demonetization,47,.5
,12: Development /vikaas (generally),1492,14.9
,13: Lack of development,147,1.5
,14: Good governance/good delivery of services,71,.7
,15: Poor governance/poor delivery of services,35,.4
,16: Condition of roads/highways,78,.8
,"17: Transport services – buses, trains, flights",19,.2
,18: Condition of hospitals/health facilities/healthcare/doctors,62,.6
,19: Condition of schools or colleges/education/educational facilities,46,.5
,20: Electricity-related problem,29,.3
,21: Water-related problem,154,1.5
,22: Condition of drains/sewerage problem,17,.2
,23: Good performance of the government,105,1.0
,24: Poor performance by the government,33,.3
,"25: Vote for change, change of government",100,1.0
,"26: Vote for stability, bringing back the government",17,.2
,"27: Vote for Modi or BJP, bringing Modi or BJP back",40,.4
,"28: Vote against Modi or BJP, throwing Modi or BJP out",42,.4
,29: Vote for Rahul Gandhi/Priyanka Gandhi/Congress eader,9,.1
,30: Vote against Rahul Gandhi/Priyanka Gandhi/Congress leader,19,.2
,31: Vote in favour of any other party or leader,33,.3
,32: Vote against any other party or leader,4,.0
