col_0,col_1,N,(%),Valid (%)
Valid,01: Andhra Pradesh,112,1.1,4.8
,02: Arunachal Pradesh,9,.1,.4
,03: Assam,102,1.0,4.4
,04: Bihar,325,3.2,13.9
,05: Goa,5,.0,.2
,06: Gujarat,66,.7,2.8
,07: Haryana,92,.9,3.9
,08: Himachal Pradesh,2,.0,.1
,09: Jammu & Kashmir,2,.0,.1
,10: Karnataka,40,.4,1.7
,11: Kerala,88,.9,3.7
,12: Madhya Pradesh,112,1.1,4.8
,13: Maharashtra,128,1.3,5.5
,14: Manipur,1,.0,.0
,16: Mizoram,1,.0,.0
,18: Odisha,108,1.1,4.6
,19: Punjab,97,1.0,4.1
,20: Rajasthan,30,.3,1.3
,21: Sikkim,3,.0,.1
,22: Tamil Nadu,143,1.4,6.1
,23: Tripura,3,.0,.1
,24: Uttar Pradesh,143,1.4,6.1
